mass,tanphi,width,total width/mass,primary decay channel,primary decay branching,second decay channel,second decay branching,third decay channel,third decay branching,fourth decay channel,fourth decay branching
3.111111e+02,1.291550e+01,4.096087e+00,0.0131659943988,t c~,3.035600e-01,c t~,3.035600e-01,t~ b W+,1.833701e-01,W- b~ t,1.830503e-01
3.111111e+02,3.593814e+01,3.150669e+01,0.101271507188,t c~,3.023991e-01,c t~,3.023991e-01,t~ b W+,1.845831e-01,W- b~ t,1.842625e-01
3.111111e+02,1.000000e+02,2.437374e+02,0.783441670837,c t~,3.022487e-01,t c~,3.022487e-01,t~ b W+,1.847398e-01,W- b~ t,1.844198e-01
3.333333e+02,1.000000e-02,1.945939e+02,0.583781758378,t c~,4.529688e-01,c t~,4.529688e-01,c c~,5.458442e-02,t u~,1.973888e-02
3.333333e+02,2.782559e-02,2.516482e+01,0.0754944675494,c t~,4.530021e-01,t c~,4.530021e-01,c c~,5.451502e-02,t u~,1.974033e-02
3.333333e+02,7.742637e-02,3.282308e+00,0.00984692498469,t c~,4.532574e-01,c t~,4.532574e-01,c c~,5.398206e-02,t u~,1.975145e-02
3.333333e+02,2.154435e-01,4.568048e-01,0.00137041453704,t c~,4.551156e-01,c t~,4.551156e-01,c c~,5.010365e-02,u t~,1.983243e-02
3.333333e+02,5.994843e-01,1.272496e-01,0.000381748838175,t c~,3.561074e-01,c t~,3.561074e-01,W- b~ t,1.179178e-01,t~ b W+,1.155760e-01
3.333333e+02,1.668101e+00,3.269938e-01,0.000980981498098,W- b~ t,3.583554e-01,t~ b W+,3.512299e-01,t c~,1.385793e-01,c t~,1.385793e-01
3.333333e+02,4.641589e+00,2.232470e+00,0.00669741066974,W- b~ t,4.068498e-01,t~ b W+,3.987600e-01,c t~,9.312513e-02,t c~,9.312513e-02
3.333333e+02,1.291550e+01,1.703223e+01,0.0510966951097,W- b~ t,4.129523e-01,t~ b W+,4.047384e-01,t c~,8.734799e-02,c t~,8.734799e-02
3.333333e+02,3.593814e+01,1.316280e+02,0.394884039488,W- b~ t,4.137343e-01,t~ b W+,4.055065e-01,t c~,8.660557e-02,c t~,8.660557e-02
3.333333e+02,1.000000e+02,1.018902e+03,3.05670630567,W- b~ t,4.138376e-01,t~ b W+,4.056032e-01,t c~,8.650973e-02,c t~,8.650973e-02
